Date,Time,ns1:sex,ns1:lat,lat,Latitudes,ns1:lon,lon,Longitudes
02-05-1901,14:00:00,M,533300N,533300,53.33,0095900E,95900,0.959
03-05-1901,19:00:00,M,442900N,442900,44.29,0112000E,112000,1.12
03-05-1901,19:00:00,F,442900N,442900,44.29,0112000E,112000,1.12
03-05-1901,15:51:00,M,471200N,471200,47.12,0045700E,45700,0.457
07-05-1901,05:45:00,M,463600N,463600,46.36,1120200W,1120200,-1.202
07-05-1901,23:00:00,M,412300N,412300,41.23,0021100E,21100,0.211
10-05-1901,19:00:00,M,453800N,453800,45.38,0042300E,42300,0.423
18-05-1901,14:00:00,M,445000N,445000,44.5,0003400W,3400,-0.034
18-05-1901,12:00:00,M,415059N,415059,41.5,0873900E,873900,8.739
20-05-1901,03:30:00,F,522200N,522200,52.22,0045400E,45400,0.454
10-06-1901,13:55:00,M,571000N,571000,57.1,0020400W,20400,-0.204
29-06-1901,21:55:00,M,414900N,414900,41.49,0712400W,712400,-7.124
07-07-1901,11:00:00,M,414300N,414300,41.43,0133700E,133700,1.337
09-07-1901,23:40:00,M,523000N,523000,52.3,0015000W,15000,-0.15
09-07-1901,23:40:00,F,523000N,523000,52.3,0015000W,15000,-0.15
15-07-1901,21:15:00,F,404100N,404100,40.41,0144700E,144700,1.447
19-07-1901,21:00:00,M,513000N,513000,51.3,0001000W,1000,-0.01
19-07-1901,13:10:00,M,485200N,485200,48.52,0022000E,22000,0.22
31-07-1901,13:00:00,F,493000N,493000,49.3,0000800E,800,0.008
04-08-1901,22:00:00,F,295700N,295700,29.57,0900500W,900500,-9.005
04-08-1901,22:00:00,M,295700N,295700,29.57,0900500W,900500,-9.005
05-08-1901,01:00:00,F,490700N,490700,49.07,0022500E,22500,0.225
08-08-1901,12:00:00,M,431803N,431803,43.18,0963532E,963532,9.635
18-08-1901,04:15:00,M,485100N,485100,48.51,0021900E,21900,0.219
18-08-1901,15:00:00,M,452600N,452600,45.26,0042400E,42400,0.424
20-08-1901,12:00:00,M,370359N,370359,37.03,0151800E,151800,1.518
20-08-1901,04:10:00,M,365200N,365200,36.52,0144600E,144600,1.446
26-08-1901,08:30:00,F,392600N,392600,39.26,0925600W,925600,-9.256
26-08-1901,08:30:00,M,392600N,392600,39.26,0925600W,925600,-9.256
28-08-1901,22:00:00,M,493459N,493459,49.34,0343359E,343359,3.433
05-09-1901,04:00:00,M,440300N,440300,44.03,0035100E,35100,0.351
08-09-1901,06:00:00,M,484700N,484700,48.47,0020000E,20000,0.2
09-09-1901,02:00:00,F,523500N,523500,52.35,0001500W,1500,-0.015
09-09-1901,02:00:00,M,523500N,523500,52.35,0001500W,1500,-0.015
17-09-1901,14:51:00,M,453159N,453159,45.31,0053959E,53959,0.539
22-09-1901,12:00:00,M,443900N,443900,44.39,0633559E,633559,6.335
23-09-1901,12:00:00,M,500459N,500459,50.04,0142600E,142600,1.426
25-09-1901,13:36:00,M,455000N,455000,45.5,0025000E,25000,0.25
29-09-1901,19:00:00,M,415400N,415400,41.54,0122900E,122900,1.229
29-09-1901,12:00:00,M,415400N,415400,41.54,0122900E,122900,1.229
03-10-1901,08:21:00,M,491600N,491600,49.16,0004200W,4200,-0.042
10-10-1901,01:00:00,F,462100N,462100,46.21,0093700E,93700,0.937
10-10-1901,01:00:00,M,462100N,462100,46.21,0093700E,93700,0.937
29-10-1901,23:39:00,M,511700N,511700,51.17,0010500E,10500,0.105
03-11-1901,16:00:00,F,485200N,485200,48.52,0022000E,22000,0.22
03-11-1901,16:00:00,M,485200N,485200,48.52,0022000E,22000,0.22
01-12-1901,08:00:00,M,391800N,391800,39.18,0843900W,843900,-8.439
05-12-1901,00:35:00,F,415100N,415100,41.51,0873900W,873900,-8.739
05-12-1901,12:00:00,M,494759N,494759,49.47,0095600E,95600,0.956
05-12-1901,16:45:00,M,494800N,494800,49.48,0095600E,95600,0.956
14-12-1901,11:00:00,F,454600N,454600,45.46,0045300E,45300,0.453
16-12-1901,09:00:00,M,395700N,395700,39.57,0751000W,751000,-7.51
16-12-1901,09:00:00,F,395700N,395700,39.57,0751000W,751000,-7.51
27-12-1901,21:15:00,F,522900N,522900,52.29,0132100E,132100,1.321
27-12-1901,21:15:00,M,522900N,522900,52.29,0132100E,132100,1.321
02-01-1902,00:17:00,F,405300N,405300,40.53,0735800W,735800,-7.358
09-01-1902,08:00:00,F,481300N,481300,48.13,0162000E,162000,1.62
09-01-1902,08:00:00,M,481300N,481300,48.13,0162000E,162000,1.62
11-01-1902,06:15:00,M,491300N,491300,49.13,0011000E,11000,0.11
25-01-1902,04:21:00,M,485300N,485300,48.53,0021600E,21600,0.216
31-01-1902,21:00:00,F,344400N,344400,34.44,0863500W,863500,-8.635
31-01-1902,12:00:00,M,595159N,595159,59.51,0173759E,173759,1.737
31-01-1902,21:00:00,M,344400N,344400,34.44,0863500W,863500,-8.635
04-02-1902,01:30:00,M,422000N,422000,42.2,0830300W,830300,-8.303
04-02-1902,01:30:00,F,422000N,422000,42.2,0830300W,830300,-8.303
09-02-1902,10:00:00,F,492400N,492400,49.24,0092300E,92300,0.923
09-02-1902,10:00:00,M,492400N,492400,49.24,0092300E,92300,0.923
10-02-1902,12:00:00,M,242800N,242800,24.28,1180700E,1180700,11.807
20-02-1902,03:00:00,F,374700N,374700,37.47,1222500W,1222500,-2.225
20-02-1902,03:00:00,M,374700N,374700,37.47,1222500W,1222500,-2.225
26-02-1902,14:30:00,M,453900N,453900,45.39,0000900E,900,0.009
27-02-1902,12:00:00,M,364100N,364100,36.41,1213900E,1213900,12.139
27-02-1902,07:00:00,M,430700N,430700,43.07,0055600E,55600,0.556
07-03-1902,02:50:00,M,450300N,450300,45.03,0074000E,74000,0.74
12-03-1902,07:50:00,M,490559N,490559,49.05,0070300E,70300,0.703
21-03-1902,01:30:00,F,373500N,373500,37.35,1012100W,1012100,-0.121
22-03-1902,00:20:00,M,555700N,555700,55.57,0031300W,31300,-0.313
24-03-1902,19:00:00,M,430000N,430000,43,0841100W,841100,-8.411
29-03-1902,11:51:00,M,475900N,475900,47.59,0032400E,32400,0.324
02-04-1902,00:10:00,M,443900N,443900,44.39,0633600W,633600,-6.336
05-04-1902,08:00:00,M,452200N,452200,45.22,0053500E,53500,0.535
10-04-1902,20:45:00,M,480459N,480459,48.04,0091259E,91259,0.912
